post_id,sku,slug,url
154658,CRCALGRPROR,crystal-creek-gear-goreel-pro-hand-reel-orange,https://www.michigansportsoutdoor.com/product/crystal-creek-gear-goreel-pro-hand-reel-orange/
154660,CRCCTSTDBB,crystal-creek-gear-goreel-hand-reel-kit-lake,https://www.michigansportsoutdoor.com/product/crystal-creek-gear-goreel-hand-reel-kit-lake/
154662,CRCCTSTDGR,crystal-creek-gear-goreel-hand-reel-kit-river,https://www.michigansportsoutdoor.com/product/crystal-creek-gear-goreel-hand-reel-kit-river/
154664,CRCCTSTDPO,crystal-creek-gear-goreel-hand-reel-kit-pond,https://www.michigansportsoutdoor.com/product/crystal-creek-gear-goreel-hand-reel-kit-pond/
154666,CRCHRSTDOR,crystal-creek-gear-goreel-hand-reel-orange,https://www.michigansportsoutdoor.com/product/crystal-creek-gear-goreel-hand-reel-orange/
154668,CRSSL601GN,critical-strike-starfall-green-crystalized-tit,https://www.michigansportsoutdoor.com/product/critical-strike-starfall-green-crystalized-tit/
154669,CRSSL601PL,critical-strike-starfall-crystalized-titanium,https://www.michigansportsoutdoor.com/product/critical-strike-starfall-crystalized-titanium/
154670,CRSSL601ST,critical-strike-starfall-ti,https://www.michigansportsoutdoor.com/product/critical-strike-starfall-ti/
154671,FLNKS1312BK,falcon-linerlock-a-o-aluminum-black,https://www.michigansportsoutdoor.com/product/falcon-linerlock-a-o-aluminum-black/
154673,FLNKS1312GN,falcon-linerlock-a-o-aluminum-green,https://www.michigansportsoutdoor.com/product/falcon-linerlock-a-o-aluminum-green/
154675,FLNKS1312GY,falcon-linerlock-a-o-aluminum-gray,https://www.michigansportsoutdoor.com/product/falcon-linerlock-a-o-aluminum-gray/
154677,FLNKS2045BK,falcon-linerlock-a-o-aluminum-black-2,https://www.michigansportsoutdoor.com/product/falcon-linerlock-a-o-aluminum-black-2/
154679,FLNKS2045GN,falcon-linerlock-a-o-aluminum-green-2,https://www.michigansportsoutdoor.com/product/falcon-linerlock-a-o-aluminum-green-2/
154681,FLNKS2110BK,falcon-linerlock-a-o-black,https://www.michigansportsoutdoor.com/product/falcon-linerlock-a-o-black/
154683,FLNKS2110GN,falcon-linerlock-a-o-green,https://www.michigansportsoutdoor.com/product/falcon-linerlock-a-o-green/
154685,FLNKS2110GY,falcon-linerlock-a-o-gray,https://www.michigansportsoutdoor.com/product/falcon-linerlock-a-o-gray/
154687,G005A1,kansept-knives-stiletto-4,https://www.michigansportsoutdoor.com/product/kansept-knives-stiletto-4/
154688,G005A2,kansept-knives-stiletto-5,https://www.michigansportsoutdoor.com/product/kansept-knives-stiletto-5/
